Setup title,MFCV-Low(1)
2.6,1.32772E-10,5.04332E-11,,1316.199,
2.4,1.32478E-10,-9.05921E-11,,1316.199,
2.2,1.32165E-10,4.25682E-11,,1316.199,
2,1.31785E-10,3.46725E-11,,1316.199,
1.8,1.31312E-10,-1.65934E-10,,1316.199,
1.6,1.30675E-10,3.38809E-10,,1316.199,
1.4,1.29905E-10,-2.66643E-11,,1316.199,
1.2,1.2896E-10,5.20042E-10,,1316.199,
1,1.27863E-10,4.71314E-10,,1316.199,
0.8,1.26605E-10,8.63487E-10,,1316.199,
0.6,1.25263E-10,1.26541E-09,,1316.199,
0.4,1.2409E-10,1.61942E-09,,1316.199,
0.2,1.23101E-10,2.25256E-09,,1316.199,
0,1.22411E-10,2.80579E-09,,1316.199,
-0.2,1.21971E-10,3.15553E-09,,1316.199,
-0.4,1.21673E-10,3.69917E-09,,1316.199,
-0.6,1.21502E-10,3.73416E-09,,1316.199,
-0.8,1.21334E-10,3.90227E-09,,1316.199,
-1,1.21204E-10,3.91222E-09,,1316.199,
-1.2,1.21085E-10,3.9319E-09,,1316.199,
-1.4,1.20994E-10,3.7084E-09,,1316.199,
-1.6,1.2088E-10,3.52841E-09,,1316.199,
-1.8,1.20784E-10,3.29556E-09,,1316.199,
-2,1.20717E-10,2.87198E-09,,1316.199,
-2.2,1.20653E-10,2.54396E-09,,1316.199,
-2.4,1.20583E-10,2.23422E-09,,1316.199,
-2.6,1.20522E-10,2.00257E-09,,1316.199,
-2.8,1.20481E-10,1.8929E-09,,1316.199,
-3,1.20455E-10,1.42937E-09,,1316.199,
-3.2,1.20403E-10,1.25374E-09,,1316.199,
-3.4,1.20372E-10,1.13354E-09,,1316.199,
-3.6,1.20362E-10,1.00162E-09,,1316.199,
-3.8,1.20338E-10,8.94732E-10,,1316.199,
-4,1.20317E-10,6.1936E-10,,1316.199,
-4.2,1.20306E-10,5.48233E-10,,1316.199,
-4.4,1.20279E-10,5.58568E-10,,1316.199,
-4.6,1.20293E-10,3.78161E-10,,1316.199,
-4.8,1.20258E-10,5.28967E-10,,1316.199,
-5,1.20238E-10,3.64062E-10,,1316.199,
-5,1.20238E-10,4.98783E-10,,1510.019,
-4.8,1.20275E-10,7.8289E-10,,1510.019,
-4.6,1.20291E-10,6.22551E-10,,1510.019,
-4.4,1.20308E-10,6.10627E-10,,1510.019,
-4.2,1.20335E-10,8.02747E-10,,1510.019,
-4,1.20366E-10,8.57179E-10,,1510.019,
-3.8,1.2038E-10,1.36997E-09,,1510.019,
-3.6,1.20414E-10,1.38328E-09,,1510.019,
-3.4,1.20423E-10,1.5611E-09,,1510.019,
-3.2,1.20448E-10,1.7101E-09,,1510.019,
-3,1.2045E-10,1.98329E-09,,1510.019,
-2.8,1.20517E-10,2.26163E-09,,1510.019,
-2.6,1.20558E-10,2.49527E-09,,1510.019,
-2.4,1.20604E-10,2.86401E-09,,1510.019,
-2.2,1.20661E-10,2.90672E-09,,1510.019,
-2,1.20729E-10,3.58937E-09,,1510.019,
-1.8,1.20795E-10,3.80433E-09,,1510.019,
-1.6,1.20881E-10,4.01154E-09,,1510.019,
-1.4,1.20968E-10,4.41584E-09,,1510.019,
-1.2,1.21051E-10,4.3141E-09,,1510.019,
-1,1.21196E-10,4.34884E-09,,1510.019,
-0.8,1.21299E-10,4.23021E-09,,1510.019,
-0.6,1.21438E-10,4.44217E-09,,1510.019,
-0.4,1.21655E-10,4.0098E-09,,1510.019,
-0.2,1.21951E-10,3.64873E-09,,1510.019,
0,1.22419E-10,3.28088E-09,,1510.019,
0.2,1.23101E-10,2.55576E-09,,1510.019,
0.4,1.24107E-10,1.976E-09,,1510.019,
0.6,1.25334E-10,1.43792E-09,,1510.019,
0.8,1.26652E-10,1.17003E-09,,1510.019,
1,1.27915E-10,7.58708E-10,,1510.019,
1.2,1.29031E-10,5.24238E-10,,1510.019,
1.4,1.29915E-10,7.60337E-11,,1510.019,
1.6,1.30693E-10,3.3317E-10,,1510.019,
1.8,1.31316E-10,2.65691E-10,,1510.019,
2,1.31793E-10,2.00229E-10,,1510.019,
2.2,1.32209E-10,4.26245E-10,,1510.019,
2.4,1.32528E-10,2.32466E-10,,1510.019,
2.6,1.32814E-10,5.35951E-11,,1510.019,
2.8,1.33032E-10,3.43626E-10,,1510.019,
3,1.3324E-10,2.24375E-10,,1510.019,
3.2,1.33394E-10,2.16891E-11,,1510.019,
3.4,1.33538E-10,1.48816E-10,,1510.019,
3.6,1.33683E-10,1.88523E-10,,1510.019,
3.8,1.33833E-10,2.58032E-10,,1510.019,
4,1.33923E-10,1.88475E-10,,1510.019,
4.2,1.33971E-10,3.10456E-10,,1510.019,
4.4,1.34052E-10,1.81893E-10,,1510.019,
4.6,1.3412E-10,-2.12901E-10,,1510.019,
4.8,1.342E-10,3.19549E-10,,1510.019,
5,1.34254E-10,6.12521E-11,,1510.019,
5.2,1.34293E-10,3.13967E-10,,1510.019,
5.4,1.34319E-10,2.93696E-10,,1510.019,
5.6,1.34389E-10,4.33435E-11,,1510.019,
5.8,1.34448E-10,2.81749E-10,,1510.019,
6,1.34476E-10,2.95651E-10,,1510.019,
6.2,1.34544E-10,5.32464E-11,,1510.019,
6.4,1.34581E-10,3.17485E-10,,1510.019,
6.6,1.34573E-10,3.17487E-10,,1510.019,
6.8,1.34619E-10,3.29995E-10,,1510.019,
7,1.34631E-10,1.34688E-10,,1510.019,
7.2,1.34664E-10,1.86339E-10,,1510.019,
7.4,1.34684E-10,2.48066E-11,,1510.019,
7.6,1.3472E-10,-5.20904E-11,,1510.019,
7.8,1.34724E-10,2.81694E-10,,1510.019,
8,1.34753E-10,2.81688E-10,,1510.019,
8.2,1.34787E-10,1.58499E-10,,1510.019,
8.4,1.34786E-10,1.34657E-10,,1510.019,
8.6,1.34827E-10,-1.41519E-10,,1510.019,
8.8,1.34833E-10,3.90947E-10,,1510.019,
9,1.34853E-10,-3.42358E-11,,1510.019,
9.2,1.34856E-10,2.20076E-10,,1510.019,
9.4,1.34862E-10,1.92259E-10,,1510.019,
9.6,1.34845E-10,1.70408E-10,,1510.019,
9.8,1.34873E-10,3.6054E-10,,1510.019,
10,1.3493E-10,1.30257E-10,,1510.019,
10,1.34901E-10,-2.23246E-11,,1510.019,
9.8,1.34916E-10,1.84301E-10,,1510.019,
9.6,1.34882E-10,-2.62944E-11,,1510.019,
9.4,1.34901E-10,2.13854E-11,,1510.019,
9.2,1.34875E-10,-1.91199E-10,,1510.019,
9,1.34848E-10,-9.58261E-11,,1510.019,
8.8,1.34837E-10,1.3862E-10,,1510.019,
8.6,1.34817E-10,-1.27609E-10,,1510.019,
8.4,1.34819E-10,8.10063E-11,,1510.019,
8.2,1.34809E-10,3.81017E-10,,1510.019,
8,1.3474E-10,2.57849E-10,,1510.019,
7.8,1.34777E-10,1.22738E-10,,1510.019,
7.6,1.3471E-10,1.00896E-10,,1510.019,
7.4,1.34699E-10,2.0163E-10,,1510.019,
7.2,1.34668E-10,1.14813E-10,,1510.019,
7,1.34651E-10,-2.20956E-10,,1510.019,
6.8,1.34604E-10,-4.09672E-13,,1510.019,
6.6,1.34602E-10,2.28074E-10,,1510.019,
6.4,1.34532E-10,2.26102E-10,,1510.019,
6.2,1.3454E-10,-2.10999E-10,,1510.019,
6,1.34484E-10,1.57566E-10,,1510.019,
5.8,1.34449E-10,-5.60093E-11,,1510.019,
5.6,1.34394E-10,1.52617E-10,,1510.019,
5.4,1.34348E-10,2.73822E-10,,1510.019,
5.2,1.34299E-10,3.04231E-10,,1510.019,
5,1.34254E-10,2.74762E-11,,1510.019,
4.8,1.34218E-10,1.18877E-10,,1510.019,
4.6,1.34071E-10,2.55997E-10,,1510.019,
4.4,1.34041E-10,1.2229E-10,,1510.019,
4.2,1.33996E-10,2.77867E-10,,1510.019,
4,1.33897E-10,1.76559E-10,,1510.019,
3.8,1.3375E-10,-9.56047E-11,,1510.019,
3.6,1.33649E-10,3.31581E-10,,1510.019,
3.4,1.33549E-10,1.96711E-11,,1510.019,
3.2,1.33405E-10,-1.13417E-10,,1510.019,
3,1.33246E-10,1.57585E-11,,1510.019,
2.8,1.33025E-10,-1.80892E-10,,1510.019,
2.6,1.32772E-10,2.86061E-10,,1510.019,
2.4,1.3252E-10,2.08626E-10,,1510.019,
2.2,1.32167E-10,4.63605E-10,,1510.019,
2,1.31751E-10,3.29778E-10,,1510.019,
1.8,1.31271E-10,2.4464E-10,,1510.019,
1.6,1.30641E-10,4.54773E-10,,1510.019,
1.4,1.29878E-10,4.53337E-10,,1510.019,
1.2,1.28946E-10,5.52071E-10,,1510.019,
1,1.27833E-10,7.76606E-10,,1510.019,
0.8,1.2657E-10,1.04727E-09,,1510.019,
0.6,1.25245E-10,1.34516E-09,,1510.019,
0.4,1.24051E-10,2.10555E-09,,1510.019,
0.2,1.23064E-10,2.63742E-09,,1510.019,
0,1.22391E-10,3.29718E-09,,1510.019,
-0.2,1.21939E-10,3.82099E-09,,1510.019,
-0.4,1.21647E-10,3.97344E-09,,1510.019,
-0.6,1.21432E-10,4.35714E-09,,1510.019,
-0.8,1.21286E-10,4.47359E-09,,1510.019,
-1,1.21177E-10,4.52627E-09,,1510.019,
-1.2,1.21047E-10,4.28132E-09,,1510.019,
-1.4,1.20941E-10,4.14663E-09,,1510.019,
-1.6,1.20832E-10,3.9438E-09,,1510.019,
-1.8,1.20752E-10,3.59036E-09,,1510.019,
-2,1.20682E-10,3.25222E-09,,1510.019,
-2.2,1.20605E-10,2.87355E-09,,1510.019,
-2.4,1.20558E-10,2.67051E-09,,1510.019,
-2.6,1.2052E-10,2.10427E-09,,1510.019,
-2.8,1.20459E-10,1.81024E-09,,1510.019,
-3,1.2044E-10,1.55017E-09,,1510.019,
-3.2,1.2039E-10,1.47209E-09,,1510.019,
-3.4,1.204E-10,1.0038E-09,,1510.019,
-3.6,1.20366E-10,1.0952E-09,,1510.019,
-3.8,1.20357E-10,9.91688E-10,,1510.019,
-4,1.20319E-10,8.13081E-10,,1510.019,
-4.2,1.20302E-10,7.90037E-10,,1510.019,
-4.4,1.20283E-10,6.52752E-10,,1510.019,
-4.6,1.20259E-10,5.57191E-10,,1510.019,
-4.8,1.20244E-10,5.82427E-10,,1510.019,
-5,1.2025E-10,4.67985E-10,,1510.019,
-5,1.2023E-10,4.18195E-10,,1732.38,
-4.8,1.20262E-10,6.14285E-10,,1732.38,
-4.6,1.20281E-10,5.43947E-10,,1732.38,
-4.4,1.20301E-10,6.86396E-10,,1732.38,
-4.2,1.2033E-10,1.02295E-09,,1732.38,
-4,1.20351E-10,1.08096E-09,,1732.38,
-3.8,1.20369E-10,1.11652E-09,,1732.38,
-3.6,1.20379E-10,1.2244E-09,,1732.38,
-3.4,1.20405E-10,1.53454E-09,,1732.38,
-3.2,1.20451E-10,1.72824E-09,,1732.38,
-3,1.20453E-10,2.18024E-09,,1732.38,
-2.8,1.20511E-10,2.42103E-09,,1732.38,
-2.6,1.20535E-10,2.58314E-09,,1732.38,
-2.4,1.20575E-10,2.91453E-09,,1732.38,
-2.2,1.20631E-10,3.38261E-09,,1732.38,
-2,1.20697E-10,3.64505E-09,,1732.38,
-1.8,1.20757E-10,4.12863E-09,,1732.38,
-1.6,1.20837E-10,4.20669E-09,,1732.38,
-1.4,1.2093E-10,4.51641E-09,,1732.38,
-1.2,1.21013E-10,4.94137E-09,,1732.38,
-1,1.21139E-10,5.07902E-09,,1732.38,
-0.8,1.21256E-10,4.90495E-09,,1732.38,
-0.6,1.21398E-10,4.59934E-09,,1732.38,
-0.4,1.21617E-10,4.51107E-09,,1732.38,
-0.2,1.21924E-10,4.24655E-09,,1732.38,
0,1.22378E-10,3.80815E-09,,1732.38,
0.2,1.23083E-10,2.89622E-09,,1732.38,
0.4,1.24066E-10,2.4706E-09,,1732.38,
0.6,1.25294E-10,1.68491E-09,,1732.38,
0.8,1.2663E-10,1.35039E-09,,1732.38,
1,1.27885E-10,1.06636E-09,,1732.38,
1.2,1.29004E-10,7.96869E-10,,1732.38,
1.4,1.29919E-10,6.24184E-10,,1732.38,
1.6,1.30653E-10,7.31883E-10,,1732.38,
1.8,1.31271E-10,2.65424E-10,,1732.38,
2,1.31801E-10,1.41512E-10,,1732.38,
2.2,1.32175E-10,3.08906E-10,,1732.38,
2.4,1.32505E-10,1.23454E-10,,1732.38,
2.6,1.32809E-10,3.33383E-10,,1732.38,
2.8,1.3302E-10,3.14654E-10,,1732.38,
3,1.33257E-10,3.00091E-10,,1732.38,
3.2,1.33398E-10,-9.53196E-11,,1732.38,
3.4,1.33537E-10,3.77616E-11,,1732.38,
3.6,1.33653E-10,7.94554E-11,,1732.38,
3.8,1.33788E-10,3.55786E-10,,1732.38,
4,1.33869E-10,-4.83973E-12,,1732.38,
4.2,1.33974E-10,1.80702E-10,,1732.38,
4.4,1.34051E-10,5.75003E-11,,1732.38,
4.6,1.34119E-10,-1.07422E-10,,1732.38,
4.8,1.34194E-10,2.26343E-10,,1732.38,
5,1.34249E-10,1.46658E-10,,1732.38,
5.2,1.34308E-10,1.17834E-10,,1732.38,
5.4,1.34362E-10,5.64058E-10,,1732.38,
5.6,1.34408E-10,2.91854E-10,,1732.38,
5.8,1.34445E-10,2.04425E-10,,1732.38,
6,1.34509E-10,3.95143E-10,,1732.38,
6.2,1.3452E-10,2.75733E-10,,1732.38,
6.4,1.34572E-10,1.78564E-10,,1732.38,
6.6,1.34629E-10,1.16959E-10,,1732.38,
6.8,1.34605E-10,-2.15154E-11,,1732.38,
7,1.34653E-10,-1.01596E-10,,1732.38,
7.2,1.3465E-10,2.30798E-10,,1732.38,
7.4,1.34696E-10,1.01048E-10,,1732.38,
7.6,1.34688E-10,1.5827E-10,,1732.38,
7.8,1.34736E-10,-7.77752E-11,,1732.38,
8,1.34752E-10,1.46532E-10,,1732.38,
8.2,1.3475E-10,1.30836E-10,,1732.38,
8.4,1.3481E-10,4.9362E-11,,1732.38,
8.6,1.34831E-10,5.5317E-11,,1732.38,
8.8,1.34829E-10,3.7122E-10,,1732.38,
9,1.34845E-10,8.02758E-12,,1732.38,
9.2,1.34859E-10,1.59022E-10,,1732.38,
9.4,1.34857E-10,1.08954E-10,,1732.38,
9.6,1.34886E-10,1.86433E-10,,1732.38,
9.8,1.34911E-10,2.52984E-10,,1732.38,
10,1.34915E-10,1.16887E-10,,1732.38,
10,1.34885E-10,-8.97336E-11,,1732.38,
9.8,1.34933E-10,1.15816E-11,,1732.38,
9.6,1.34888E-10,2.53388E-10,,1732.38,
9.4,1.34867E-10,-4.40323E-11,,1732.38,
9.2,1.3489E-10,2.91732E-10,,1732.38,
9,1.34836E-10,-6.98531E-11,,1732.38,
8.8,1.34834E-10,2.08301E-10,,1732.38,
8.6,1.34811E-10,2.87421E-13,,1732.38,
8.4,1.34807E-10,1.50293E-10,,1732.38,
8.2,1.34778E-10,6.92382E-11,,1732.38,
8,1.3476E-10,7.71898E-11,,1732.38,
7.8,1.3474E-10,6.13005E-11,,1732.38,
7.6,1.34708E-10,-2.20818E-10,,1732.38,
7.4,1.34722E-10,8.316E-11,,1732.38,
7.2,1.34656E-10,-3.00718E-11,,1732.38,
7,1.34626E-10,-2.80774E-11,,1732.38,
6.8,1.34592E-10,-4.59501E-11,,1732.38,
6.6,1.34581E-10,-3.8E-11,,1732.38,
6.4,1.34526E-10,2.97387E-10,,1732.38,
6.2,1.3451E-10,-1.15468E-10,,1732.38,
6,1.3449E-10,7.5271E-11,,1732.38,
5.8,1.34463E-10,2.06407E-10,,1732.38,
5.6,1.34381E-10,-1.13448E-10,,1732.38,
5.4,1.34363E-10,2.06432E-10,,1732.38,
5.2,1.34314E-10,-2.06812E-10,,1732.38,
5,1.34246E-10,-1.27322E-10,,1732.38,
4.8,1.34174E-10,2.02506E-10,,1732.38,
4.6,1.34114E-10,-1.8888E-10,,1732.38,
4.4,1.34059E-10,4.40953E-10,,1732.38,
4.2,1.33993E-10,9.83149E-12,,1732.38,
4,1.33883E-10,1.6642E-10,,1732.38,
3.8,1.33788E-10,6.19373E-11,,1732.38,
3.6,1.33672E-10,-5.16789E-11,,1732.38,
3.4,1.33536E-10,-1.41051E-10,,1732.38,
3.2,1.3341E-10,5.96483E-11,,1732.38,
3,1.33197E-10,1.89639E-10,,1732.38,
2.8,1.33023E-10,1.57894E-10,,1732.38,
2.6,1.32773E-10,-2.00463E-10,,1732.38,
2.4,1.32506E-10,1.48885E-10,,1732.38,
2.2,1.32187E-10,4.09635E-10,,1732.38,
2,1.31772E-10,4.93185E-10,,1732.38,
1.8,1.31251E-10,2.55097E-10,,1732.38,
1.6,1.30641E-10,1.65645E-10,,1732.38,
1.4,1.29884E-10,6.13265E-10,,1732.38,
1.2,1.28945E-10,5.1575E-10,,1732.38,
1,1.2782E-10,8.67896E-10,,1732.38,
0.8,1.2655E-10,1.36015E-09,,1732.38,
0.6,1.25225E-10,1.71731E-09,,1732.38,
0.4,1.23994E-10,2.41022E-09,,1732.38,
0.2,1.23036E-10,2.93101E-09,,1732.38,
0,1.22365E-10,3.81809E-09,,1732.38,
-0.2,1.21918E-10,4.27E-09,,1732.38,
-0.4,1.21615E-10,4.44591E-09,,1732.38,
-0.6,1.21403E-10,4.85723E-09,,1732.38,
-0.8,1.21254E-10,4.87197E-09,,1732.38,
-1,1.21112E-10,4.93816E-09,,1732.38,
-1.2,1.21E-10,4.61693E-09,,1732.38,
-1.4,1.20894E-10,4.52755E-09,,1732.38,
-1.6,1.20836E-10,4.24345E-09,,1732.38,
-1.8,1.2072E-10,3.90453E-09,,1732.38,
-2,1.20667E-10,3.29975E-09,,1732.38,
-2.2,1.20585E-10,3.02381E-09,,1732.38,
-2.4,1.20537E-10,2.76057E-09,,1732.38,
-2.6,1.20491E-10,2.16851E-09,,1732.38,
-2.8,1.20433E-10,1.83613E-09,,1732.38,
-3,1.20414E-10,1.85541E-09,,1732.38,
-3.2,1.20394E-10,1.40083E-09,,1732.38,
-3.4,1.20364E-10,1.23295E-09,,1732.38,
-3.6,1.2036E-10,1.09388E-09,,1732.38,
-3.8,1.20323E-10,9.88187E-10,,1732.38,
-4,1.20304E-10,6.31758E-10,,1732.38,
-4.2,1.203E-10,9.46271E-10,,1732.38,
-4.4,1.20285E-10,6.96334E-10,,1732.38,
-4.6,1.20248E-10,8.31248E-10,,1732.38,
-4.8,1.20227E-10,6.81646E-10,,1732.38,
-5,1.20237E-10,7.17009E-10,,1732.38,
-5,1.20241E-10,5.27871E-10,,1987.486,
-4.8,1.20261E-10,6.44295E-10,,1987.486,
-4.6,1.2027E-10,7.16017E-10,,1987.486,
-4.4,1.20306E-10,8.60452E-10,,1987.486,
-4.2,1.20315E-10,1.12808E-09,,1987.486,
-4,1.20356E-10,1.07244E-09,,1987.486,
-3.8,1.20359E-10,1.17456E-09,,1987.486,
-3.6,1.20386E-10,1.49582E-09,,1987.486,
-3.4,1.20398E-10,1.77E-09,,1987.486,
-3.2,1.20427E-10,1.89934E-09,,1987.486,
-3,1.20457E-10,2.19239E-09,,1987.486,
-2.8,1.20483E-10,2.63346E-09,,1987.486,
-2.6,1.20515E-10,3.004E-09,,1987.486,
-2.4,1.20566E-10,3.38566E-09,,1987.486,
-2.2,1.20612E-10,3.60301E-09,,1987.486,
-2,1.20664E-10,4.07288E-09,,1987.486,
-1.8,1.20733E-10,4.47043E-09,,1987.486,
-1.6,1.20811E-10,4.81096E-09,,1987.486,
-1.4,1.20897E-10,5.08274E-09,,1987.486,
-1.2,1.20989E-10,5.33286E-09,,1987.486,
-1,1.21108E-10,5.52417E-09,,1987.486,
-0.8,1.21214E-10,5.54719E-09,,1987.486,
-0.6,1.21372E-10,5.51318E-09,,1987.486,
-0.4,1.21585E-10,5.06371E-09,,1987.486,
-0.2,1.21894E-10,4.77297E-09,,1987.486,
0,1.22345E-10,4.25072E-09,,1987.486,
0.2,1.23044E-10,3.50352E-09,,1987.486,
0.4,1.24057E-10,2.88697E-09,,1987.486,
0.6,1.25298E-10,1.87043E-09,,1987.486,
0.8,1.2663E-10,1.29395E-09,,1987.486,
1,1.27876E-10,1.12975E-09,,1987.486,
1.2,1.29032E-10,9.85248E-10,,1987.486,
1.4,1.29926E-10,7.35499E-10,,1987.486,
1.6,1.30662E-10,9.27261E-10,,1987.486,
1.8,1.31281E-10,4.92402E-10,,1987.486,
2,1.31823E-10,2.07765E-10,,1987.486,
2.2,1.32183E-10,4.64183E-10,,1987.486,
2.4,1.32541E-10,3.58601E-10,,1987.486,
2.6,1.32798E-10,4.84707E-10,,1987.486,
2.8,1.33042E-10,2.11462E-10,,1987.486,
3,1.33237E-10,1.6135E-10,,1987.486,
3.2,1.33398E-10,3.51255E-10,,1987.486,
3.4,1.3355E-10,3.54399E-10,,1987.486,
3.6,1.33694E-10,4.37813E-10,,1987.486,
3.8,1.33791E-10,4.07592E-10,,1987.486,
4,1.3389E-10,2.04117E-10,,1987.486,
4.2,1.3398E-10,3.26486E-10,,1987.486,
4.4,1.3405E-10,4.86609E-10,,1987.486,
4.6,1.34137E-10,1.42867E-10,,1987.486,
4.8,1.34219E-10,4.49615E-10,,1987.486,
5,1.34247E-10,1.39663E-10,,1987.486,
5.2,1.34312E-10,2.55679E-10,,1987.486,
5.4,1.34383E-10,1.27711E-10,,1987.486,
5.6,1.34389E-10,8.49961E-12,,1987.486,
5.8,1.34444E-10,4.83341E-10,,1987.486,
6,1.34475E-10,4.96645E-10,,1987.486,
6.2,1.34514E-10,-2.75646E-10,,1987.486,
6.4,1.34574E-10,1.98796E-10,,1987.486,
6.6,1.34613E-10,2.05543E-10,,1987.486,
6.8,1.34656E-10,1.99175E-10,,1987.486,
7,1.34629E-10,2.63157E-10,,1987.486,
7.2,1.34645E-10,2.07125E-10,,1987.486,
7.4,1.34715E-10,-2.99533E-10,,1987.486,
7.6,1.34694E-10,-6.17047E-11,,1987.486,
7.8,1.34752E-10,4.68369E-10,,1987.486,
8,1.34759E-10,2.12861E-10,,1987.486,
8.2,1.34806E-10,2.44838E-10,,1987.486,
8.4,1.34823E-10,4.7193E-10,,1987.486,
8.6,1.34831E-10,-9.48216E-12,,1987.486,
8.8,1.34826E-10,2.5596E-10,,1987.486,
9,1.34849E-10,3.48144E-10,,1987.486,
9.2,1.34839E-10,9.38316E-11,,1987.486,
9.4,1.34893E-10,2.42832E-10,,1987.486,
9.6,1.34888E-10,1.15676E-10,,1987.486,
9.8,1.34896E-10,5.48406E-10,,1987.486,
10,1.34902E-10,4.03763E-10,,1987.486,
10,1.34915E-10,2.30707E-10,,1987.486,
9.8,1.349E-10,1.568E-10,,1987.486,
9.6,1.34913E-10,1.49843E-10,,1987.486,
9.4,1.34864E-10,8.78654E-11,,1987.486,
9.2,1.34879E-10,3.14361E-10,,1987.486,
9,1.34828E-10,2.53575E-10,,1987.486,
8.8,1.34838E-10,3.22399E-11,,1987.486,
8.6,1.3482E-10,3.82044E-11,,1987.486,
8.4,1.34815E-10,1.67747E-10,,1987.486,
8.2,1.34772E-10,2.27759E-10,,1987.486,
8,1.34756E-10,2.80613E-10,,1987.486,
7.8,1.34733E-10,2.86578E-10,,1987.486,
7.6,1.34703E-10,2.17403E-11,,1987.486,
7.4,1.34677E-10,-1.78328E-10,,1987.486,
7.2,1.34661E-10,1.89637E-10,,1987.486,
7,1.34635E-10,4.79522E-10,,1987.486,
6.8,1.34625E-10,2.57595E-10,,1987.486,
6.6,1.34574E-10,3.04297E-10,,1987.486,
6.4,1.34585E-10,4.62051E-11,,1987.486,
6.2,1.34556E-10,5.14451E-13,,1987.486,
6,1.34469E-10,3.82006E-10,,1987.486,
5.8,1.34476E-10,-4.28623E-10,,1987.486,
5.6,1.344E-10,3.40299E-10,,1987.486,
5.4,1.34336E-10,2.78721E-10,,1987.486,
5.2,1.34297E-10,7.6153E-10,,1987.486,
5,1.34264E-10,2.76751E-10,,1987.486,
4.8,1.34181E-10,1.50208E-10,,1987.486,
4.6,1.34126E-10,2.70822E-10,,1987.486,
4.4,1.34043E-10,1.14278E-10,,1987.486,
4.2,1.33981E-10,2.80788E-10,,1987.486,
4,1.33868E-10,3.0108E-10,,1987.486,
3.8,1.33807E-10,4.27854E-10,,1987.486,
3.6,1.33675E-10,2.57016E-10,,1987.486,
3.4,1.33551E-10,2.66978E-10,,1987.486,
3.2,1.33407E-10,2.47142E-10,,1987.486,
3,1.33223E-10,6.83691E-11,,1987.486,
2.8,1.33023E-10,1.28019E-10,,1987.486,
2.6,1.32776E-10,5.21469E-10,,1987.486,
2.4,1.32505E-10,4.46825E-10,,1987.486,
2.2,1.32172E-10,2.25567E-10,,1987.486,
2,1.31741E-10,2.51493E-10,,1987.486,
1.8,1.31247E-10,5.81618E-10,,1987.486,
1.6,1.30628E-10,4.66323E-10,,1987.486,
1.4,1.29861E-10,6.55643E-10,,1987.486,
1.2,1.28941E-10,7.32344E-10,,1987.486,
1,1.27797E-10,1.11467E-09,,1987.486,
0.8,1.2656E-10,1.11892E-09,,1987.486,
0.6,1.25222E-10,2.13569E-09,,1987.486,
0.4,1.24004E-10,2.75208E-09,,1987.486,
0.2,1.23018E-10,3.50491E-09,,1987.486,
0,1.22325E-10,4.23185E-09,,1987.486,
-0.2,1.2188E-10,4.9186E-09,,1987.486,
-0.4,1.21567E-10,5.29736E-09,,1987.486,
-0.6,1.21366E-10,5.61173E-09,,1987.486,
-0.8,1.21213E-10,5.56289E-09,,1987.486,
-1,1.21085E-10,5.30264E-09,,1987.486,
-1.2,1.20974E-10,5.23372E-09,,1987.486,
-1.4,1.20873E-10,4.96393E-09,,1987.486,
-1.6,1.20791E-10,4.76308E-09,,1987.486,
-1.8,1.20728E-10,4.16208E-09,,1987.486,
-2,1.2063E-10,3.87818E-09,,1987.486,
-2.2,1.20563E-10,3.16671E-09,,1987.486,
-2.4,1.20533E-10,2.87465E-09,,1987.486,
-2.6,1.20491E-10,2.41094E-09,,1987.486,
-2.8,1.20426E-10,2.11293E-09,,1987.486,
-3,1.20425E-10,1.91981E-09,,1987.486,
-3.2,1.20394E-10,1.59894E-09,,1987.486,
-3.4,1.20363E-10,1.38437E-09,,1987.486,
-3.6,1.20359E-10,1.13403E-09,,1987.486,
-3.8,1.20322E-10,9.90189E-10,,1987.486,
-4,1.20321E-10,8.83297E-10,,1987.486,
-4.2,1.20284E-10,7.47208E-10,,1987.486,
-4.4,1.20276E-10,7.63899E-10,,1987.486,
-4.6,1.20272E-10,6.86214E-10,,1987.486,
-4.8,1.20231E-10,6.94568E-10,,1987.486,
-5,1.20224E-10,6.82252E-10,,1987.486,
-5,1.20232E-10,7.76602E-10,,2280.157,
-4.8,1.20239E-10,7.58322E-10,,2280.157,
-4.6,1.20275E-10,8.22688E-10,,2280.157,
-4.4,1.20287E-10,1.14892E-09,,2280.157,
-4.2,1.20302E-10,1.06051E-09,,2280.157,
-4,1.20342E-10,1.11871E-09,,2280.157,
-3.8,1.20353E-10,1.4521E-09,,2280.157,
-3.6,1.20372E-10,1.59396E-09,,2280.157,
-3.4,1.20402E-10,1.92635E-09,,2280.157,
-3.2,1.20409E-10,1.98516E-09,,2280.157,
-3,1.20449E-10,2.40735E-09,,2280.157,
-2.8,1.20467E-10,2.65948E-09,,2280.157,
-2.6,1.20492E-10,3.05962E-09,,2280.157,
-2.4,1.20538E-10,3.696E-09,,2280.157,
-2.2,1.20591E-10,4.09872E-09,,2280.157,
-2,1.20645E-10,4.23858E-09,,2280.157,
-1.8,1.20707E-10,4.94409E-09,,2280.157,
-1.6,1.20778E-10,5.27767E-09,,2280.157,
-1.4,1.20848E-10,5.64343E-09,,2280.157,
-1.2,1.20957E-10,6.01952E-09,,2280.157,
-1,1.21055E-10,6.14665E-09,,2280.157,
-0.8,1.21178E-10,6.23286E-09,,2280.157,
