Setup title,MFCV-High(1)
3.8,1.35009E-10,6.13136E-06,,320445.3,
3.6,1.34887E-10,6.13573E-06,,320445.3,
3.4,1.34749E-10,6.15447E-06,,320445.3,
3.2,1.34587E-10,6.17168E-06,,320445.3,
3,1.34405E-10,6.18889E-06,,320445.3,
2.8,1.3419E-10,6.19342E-06,,320445.3,
2.6,1.33942E-10,6.20358E-06,,320445.3,
2.4,1.33646E-10,6.20959E-06,,320445.3,
2.2,1.33287E-10,6.2033E-06,,320445.3,
2,1.32852E-10,6.18029E-06,,320445.3,
1.8,1.3233E-10,6.12812E-06,,320445.3,
1.6,1.31674E-10,6.06128E-06,,320445.3,
1.4,1.30863E-10,5.93794E-06,,320445.3,
1.2,1.29877E-10,5.76034E-06,,320445.3,
1,1.28687E-10,5.51625E-06,,320445.3,
0.8,1.2733E-10,5.21112E-06,,320445.3,
0.6,1.25902E-10,4.86953E-06,,320445.3,
0.4,1.24569E-10,4.54522E-06,,320445.3,
0.2,1.23513E-10,4.31067E-06,,320445.3,
0,1.22761E-10,4.16352E-06,,320445.3,
-0.2,1.22282E-10,4.04886E-06,,320445.3,
-0.4,1.21996E-10,3.98169E-06,,320445.3,
-0.6,1.21827E-10,3.93702E-06,,320445.3,
-0.8,1.21729E-10,3.90465E-06,,320445.3,
-1,1.21663E-10,3.87414E-06,,320445.3,
-1.2,1.21624E-10,3.85543E-06,,320445.3,
-1.4,1.21592E-10,3.8364E-06,,320445.3,
-1.6,1.2157E-10,3.82081E-06,,320445.3,
-1.8,1.2155E-10,3.80874E-06,,320445.3,
-2,1.21532E-10,3.81378E-06,,320445.3,
-2.2,1.21511E-10,3.81447E-06,,320445.3,
-2.4,1.215E-10,3.80573E-06,,320445.3,
-2.6,1.21477E-10,3.80378E-06,,320445.3,
-2.8,1.21459E-10,3.79505E-06,,320445.3,
-3,1.21443E-10,3.81323E-06,,320445.3,
-3.2,1.21429E-10,3.78914E-06,,320445.3,
-3.4,1.21412E-10,3.79461E-06,,320445.3,
-3.6,1.21388E-10,3.79505E-06,,320445.3,
-3.8,1.21374E-10,3.79052E-06,,320445.3,
-4,1.21353E-10,3.79397E-06,,320445.3,
-4.2,1.21336E-10,3.78365E-06,,320445.3,
-4.4,1.21309E-10,3.79343E-06,,320445.3,
-4.6,1.21293E-10,3.79562E-06,,320445.3,
-4.8,1.21268E-10,3.78771E-06,,320445.3,
-5,1.21249E-10,3.78359E-06,,320445.3,
-5,1.21605E-10,5.06028E-06,,367633.2,
-4.8,1.21636E-10,5.06208E-06,,367633.2,
-4.6,1.21663E-10,5.06575E-06,,367633.2,
-4.4,1.21688E-10,5.04361E-06,,367633.2,
-4.2,1.21712E-10,5.06933E-06,,367633.2,
-4,1.21735E-10,5.06577E-06,,367633.2,
-3.8,1.2176E-10,5.06847E-06,,367633.2,
-3.6,1.21778E-10,5.05665E-06,,367633.2,
-3.4,1.21789E-10,5.0743E-06,,367633.2,
-3.2,1.21812E-10,5.07081E-06,,367633.2,
-3,1.21825E-10,5.0735E-06,,367633.2,
-2.8,1.21842E-10,5.07664E-06,,367633.2,
-2.6,1.21856E-10,5.07772E-06,,367633.2,
-2.4,1.21871E-10,5.07651E-06,,367633.2,
-2.2,1.21889E-10,5.0893E-06,,367633.2,
-2,1.21905E-10,5.08917E-06,,367633.2,
-1.8,1.21919E-10,5.09779E-06,,367633.2,
-1.6,1.21945E-10,5.10037E-06,,367633.2,
-1.4,1.21963E-10,5.12237E-06,,367633.2,
-1.2,1.21989E-10,5.13335E-06,,367633.2,
-1,1.22035E-10,5.16127E-06,,367633.2,
-0.8,1.22096E-10,5.19643E-06,,367633.2,
-0.6,1.22206E-10,5.23778E-06,,367633.2,
-0.4,1.22373E-10,5.27866E-06,,367633.2,
-0.2,1.22669E-10,5.37689E-06,,367633.2,
0,1.23152E-10,5.49954E-06,,367633.2,
0.2,1.23912E-10,5.72905E-06,,367633.2,
0.4,1.24987E-10,6.05279E-06,,367633.2,
0.6,1.26323E-10,6.48003E-06,,367633.2,
0.8,1.27746E-10,6.92166E-06,,367633.2,
1,1.29096E-10,7.33789E-06,,367633.2,
1.2,1.3028E-10,7.65399E-06,,367633.2,
1.4,1.31265E-10,7.88372E-06,,367633.2,
1.6,1.32068E-10,8.04093E-06,,367633.2,
1.8,1.32723E-10,8.13813E-06,,367633.2,
2,1.33246E-10,8.19544E-06,,367633.2,
2.2,1.33676E-10,8.23416E-06,,367633.2,
2.4,1.34036E-10,8.23704E-06,,367633.2,
2.6,1.3433E-10,8.23014E-06,,367633.2,
2.8,1.34579E-10,8.22678E-06,,367633.2,
3,1.34792E-10,8.22618E-06,,367633.2,
3.2,1.34976E-10,8.204E-06,,367633.2,
3.4,1.35129E-10,8.1777E-06,,367633.2,
3.6,1.35272E-10,8.15015E-06,,367633.2,
3.8,1.35396E-10,8.13726E-06,,367633.2,
4,1.35498E-10,8.11349E-06,,367633.2,
4.2,1.35595E-10,8.0888E-06,,367633.2,
4.4,1.35685E-10,8.05554E-06,,367633.2,
4.6,1.35762E-10,8.04712E-06,,367633.2,
4.8,1.35835E-10,8.0188E-06,,367633.2,
5,1.35897E-10,8.0016E-06,,367633.2,
5.2,1.35954E-10,7.97417E-06,,367633.2,
5.4,1.36007E-10,7.96039E-06,,367633.2,
5.6,1.36053E-10,7.94042E-06,,367633.2,
5.8,1.36101E-10,7.91226E-06,,367633.2,
6,1.36142E-10,7.91096E-06,,367633.2,
6.2,1.36183E-10,7.89966E-06,,367633.2,
6.4,1.36217E-10,7.87959E-06,,367633.2,
6.6,1.36249E-10,7.86351E-06,,367633.2,
6.8,1.36283E-10,7.84289E-06,,367633.2,
7,1.36312E-10,7.8421E-06,,367633.2,
7.2,1.36338E-10,7.82122E-06,,367633.2,
7.4,1.36363E-10,7.80513E-06,,367633.2,
7.6,1.36388E-10,7.80161E-06,,367633.2,
7.8,1.36412E-10,7.795E-06,,367633.2,
8,1.36435E-10,7.77991E-06,,367633.2,
8.2,1.36457E-10,7.77417E-06,,367633.2,
8.4,1.36472E-10,7.7536E-06,,367633.2,
8.6,1.36489E-10,7.74587E-06,,367633.2,
8.8,1.36507E-10,7.74255E-06,,367633.2,
9,1.36528E-10,7.72256E-06,,367633.2,
9.2,1.36546E-10,7.72708E-06,,367633.2,
9.4,1.36561E-10,7.71215E-06,,367633.2,
9.6,1.36575E-10,7.69996E-06,,367633.2,
9.8,1.3659E-10,7.69549E-06,,367633.2,
10,1.36603E-10,7.68652E-06,,367633.2,
10,1.36605E-10,7.69222E-06,,367633.2,
9.8,1.36583E-10,7.71443E-06,,367633.2,
9.6,1.36569E-10,7.70605E-06,,367633.2,
9.4,1.36559E-10,7.71255E-06,,367633.2,
9.2,1.36541E-10,7.72447E-06,,367633.2,
9,1.36527E-10,7.72818E-06,,367633.2,
8.8,1.36506E-10,7.73767E-06,,367633.2,
8.6,1.36491E-10,7.76022E-06,,367633.2,
8.4,1.36475E-10,7.7499E-06,,367633.2,
8.2,1.36451E-10,7.77613E-06,,367633.2,
8,1.36434E-10,7.78606E-06,,367633.2,
7.8,1.36411E-10,7.79246E-06,,367633.2,
7.6,1.3639E-10,7.80663E-06,,367633.2,
7.4,1.36366E-10,7.82288E-06,,367633.2,
7.2,1.36339E-10,7.82781E-06,,367633.2,
7,1.36309E-10,7.83782E-06,,367633.2,
6.8,1.36275E-10,7.85669E-06,,367633.2,
6.6,1.36251E-10,7.866E-06,,367633.2,
6.4,1.36216E-10,7.87775E-06,,367633.2,
6.2,1.36179E-10,7.89925E-06,,367633.2,
6,1.36135E-10,7.90766E-06,,367633.2,
5.8,1.36103E-10,7.9311E-06,,367633.2,
5.6,1.3605E-10,7.94994E-06,,367633.2,
5.4,1.36001E-10,7.96849E-06,,367633.2,
5.2,1.35952E-10,7.98704E-06,,367633.2,
5,1.35896E-10,7.99364E-06,,367633.2,
4.8,1.35825E-10,8.01744E-06,,367633.2,
4.6,1.35757E-10,8.04056E-06,,367633.2,
4.4,1.3568E-10,8.06856E-06,,367633.2,
4.2,1.35593E-10,8.0865E-06,,367633.2,
4,1.35498E-10,8.10851E-06,,367633.2,
3.8,1.35385E-10,8.14078E-06,,367633.2,
3.6,1.35261E-10,8.1608E-06,,367633.2,
3.4,1.3512E-10,8.18882E-06,,367633.2,
3.2,1.34962E-10,8.20996E-06,,367633.2,
3,1.34774E-10,8.20943E-06,,367633.2,
2.8,1.34562E-10,8.23238E-06,,367633.2,
2.6,1.34313E-10,8.2494E-06,,367633.2,
2.4,1.34009E-10,8.23907E-06,,367633.2,
2.2,1.33655E-10,8.23334E-06,,367633.2,
2,1.33218E-10,8.20003E-06,,367633.2,
1.8,1.32684E-10,8.12944E-06,,367633.2,
1.6,1.32034E-10,8.03603E-06,,367633.2,
1.4,1.31225E-10,7.88201E-06,,367633.2,
1.2,1.30227E-10,7.64907E-06,,367633.2,
1,1.29033E-10,7.31423E-06,,367633.2,
0.8,1.27679E-10,6.89557E-06,,367633.2,
0.6,1.26243E-10,6.45163E-06,,367633.2,
0.4,1.2492E-10,6.03686E-06,,367633.2,
0.2,1.23849E-10,5.7075E-06,,367633.2,
0,1.23104E-10,5.49606E-06,,367633.2,
-0.2,1.22624E-10,5.365E-06,,367633.2,
-0.4,1.22341E-10,5.27488E-06,,367633.2,
-0.6,1.22176E-10,5.21436E-06,,367633.2,
-0.8,1.22072E-10,5.1774E-06,,367633.2,
-1,1.2201E-10,5.14999E-06,,367633.2,
-1.2,1.21973E-10,5.12489E-06,,367633.2,
-1.4,1.21942E-10,5.10906E-06,,367633.2,
-1.6,1.21914E-10,5.09296E-06,,367633.2,
-1.8,1.21898E-10,5.092E-06,,367633.2,
-2,1.21877E-10,5.08268E-06,,367633.2,
-2.2,1.21858E-10,5.07545E-06,,367633.2,
-2.4,1.21843E-10,5.08293E-06,,367633.2,
-2.6,1.21823E-10,5.06804E-06,,367633.2,
-2.8,1.21809E-10,5.07054E-06,,367633.2,
-3,1.21793E-10,5.07534E-06,,367633.2,
-3.2,1.21774E-10,5.06685E-06,,367633.2,
-3.4,1.21757E-10,5.06478E-06,,367633.2,
-3.6,1.21739E-10,5.05747E-06,,367633.2,
-3.8,1.21719E-10,5.0581E-06,,367633.2,
-4,1.21699E-10,5.05677E-06,,367633.2,
-4.2,1.21676E-10,5.05539E-06,,367633.2,
-4.4,1.21661E-10,5.05587E-06,,367633.2,
-4.6,1.2164E-10,5.0579E-06,,367633.2,
-4.8,1.21613E-10,5.04732E-06,,367633.2,
-5,1.21595E-10,5.0551E-06,,367633.2,
-5,1.22061E-10,6.74567E-06,,421769.8,
-4.8,1.2209E-10,6.7502E-06,,421769.8,
-4.6,1.22113E-10,6.75996E-06,,421769.8,
-4.4,1.22141E-10,6.76551E-06,,421769.8,
-4.2,1.22169E-10,6.76131E-06,,421769.8,
-4,1.2219E-10,6.76744E-06,,421769.8,
-3.8,1.22212E-10,6.75644E-06,,421769.8,
-3.6,1.22225E-10,6.77427E-06,,421769.8,
-3.4,1.22244E-10,6.76534E-06,,421769.8,
-3.2,1.22266E-10,6.77579E-06,,421769.8,
-3,1.22283E-10,6.77756E-06,,421769.8,
-2.8,1.22302E-10,6.77443E-06,,421769.8,
-2.6,1.22315E-10,6.78165E-06,,421769.8,
-2.4,1.22328E-10,6.78735E-06,,421769.8,
-2.2,1.22341E-10,6.79299E-06,,421769.8,
-2,1.22361E-10,6.79483E-06,,421769.8,
-1.8,1.22377E-10,6.80302E-06,,421769.8,
-1.6,1.22396E-10,6.82665E-06,,421769.8,
-1.4,1.22412E-10,6.82684E-06,,421769.8,
-1.2,1.22446E-10,6.85367E-06,,421769.8,
-1,1.22485E-10,6.85826E-06,,421769.8,
-0.8,1.22551E-10,6.90191E-06,,421769.8,
-0.6,1.2265E-10,6.95862E-06,,421769.8,
-0.4,1.22828E-10,7.03057E-06,,421769.8,
-0.2,1.23122E-10,7.13952E-06,,421769.8,
0,1.236E-10,7.32013E-06,,421769.8,
0.2,1.24364E-10,7.60253E-06,,421769.8,
0.4,1.25442E-10,8.03582E-06,,421769.8,
0.6,1.26774E-10,8.60574E-06,,421769.8,
0.8,1.28201E-10,9.21003E-06,,421769.8,
1,1.29555E-10,9.74965E-06,,421769.8,
1.2,1.30742E-10,1.01798E-05,,421769.8,
1.4,1.31734E-10,1.04843E-05,,421769.8,
1.6,1.32543E-10,1.06804E-05,,421769.8,
1.8,1.33199E-10,1.08267E-05,,421769.8,
2,1.33727E-10,1.09016E-05,,421769.8,
2.2,1.34155E-10,1.09307E-05,,421769.8,
2.4,1.34519E-10,1.09576E-05,,421769.8,
2.6,1.34814E-10,1.0951E-05,,421769.8,
2.8,1.35061E-10,1.09302E-05,,421769.8,
3,1.35282E-10,1.09287E-05,,421769.8,
3.2,1.35473E-10,1.09116E-05,,421769.8,
3.4,1.3563E-10,1.08813E-05,,421769.8,
3.6,1.35767E-10,1.08538E-05,,421769.8,
3.8,1.35894E-10,1.08352E-05,,421769.8,
4,1.36001E-10,1.07962E-05,,421769.8,
4.2,1.36094E-10,1.076E-05,,421769.8,
4.4,1.36189E-10,1.07405E-05,,421769.8,
4.6,1.36266E-10,1.07066E-05,,421769.8,
4.8,1.36337E-10,1.06832E-05,,421769.8,
5,1.36403E-10,1.06618E-05,,421769.8,
5.2,1.36461E-10,1.06277E-05,,421769.8,
5.4,1.36519E-10,1.06063E-05,,421769.8,
5.6,1.36569E-10,1.05811E-05,,421769.8,
5.8,1.36612E-10,1.05628E-05,,421769.8,
6,1.36659E-10,1.05468E-05,,421769.8,
6.2,1.36697E-10,1.052E-05,,421769.8,
6.4,1.36731E-10,1.04968E-05,,421769.8,
6.6,1.36764E-10,1.0479E-05,,421769.8,
6.8,1.36795E-10,1.04653E-05,,421769.8,
7,1.36826E-10,1.04453E-05,,421769.8,
7.2,1.36851E-10,1.04244E-05,,421769.8,
7.4,1.36881E-10,1.0409E-05,,421769.8,
7.6,1.36903E-10,1.0395E-05,,421769.8,
7.8,1.36931E-10,1.03776E-05,,421769.8,
8,1.36953E-10,1.03817E-05,,421769.8,
8.2,1.36971E-10,1.03571E-05,,421769.8,
8.4,1.36992E-10,1.03369E-05,,421769.8,
8.6,1.37011E-10,1.03316E-05,,421769.8,
8.8,1.3703E-10,1.03152E-05,,421769.8,
9,1.37047E-10,1.03012E-05,,421769.8,
9.2,1.37064E-10,1.02987E-05,,421769.8,
9.4,1.37077E-10,1.02894E-05,,421769.8,
9.6,1.37096E-10,1.0274E-05,,421769.8,
9.8,1.37108E-10,1.02701E-05,,421769.8,
10,1.37122E-10,1.02398E-05,,421769.8,
10,1.37122E-10,1.0242E-05,,421769.8,
9.8,1.37107E-10,1.02593E-05,,421769.8,
9.6,1.37093E-10,1.0266E-05,,421769.8,
9.4,1.37079E-10,1.02899E-05,,421769.8,
9.2,1.37065E-10,1.02992E-05,,421769.8,
9,1.37044E-10,1.03071E-05,,421769.8,
8.8,1.37025E-10,1.03194E-05,,421769.8,
8.6,1.37009E-10,1.0336E-05,,421769.8,
8.4,1.36989E-10,1.03291E-05,,421769.8,
8.2,1.36967E-10,1.03555E-05,,421769.8,
8,1.36949E-10,1.03598E-05,,421769.8,
7.8,1.36927E-10,1.03917E-05,,421769.8,
7.6,1.36899E-10,1.04022E-05,,421769.8,
7.4,1.36879E-10,1.04129E-05,,421769.8,
7.2,1.36851E-10,1.04398E-05,,421769.8,
7,1.36826E-10,1.04401E-05,,421769.8,
6.8,1.36798E-10,1.04684E-05,,421769.8,
6.6,1.36763E-10,1.04782E-05,,421769.8,
6.4,1.36727E-10,1.0498E-05,,421769.8,
6.2,1.36692E-10,1.05314E-05,,421769.8,
6,1.36656E-10,1.05405E-05,,421769.8,
5.8,1.36611E-10,1.0563E-05,,421769.8,
5.6,1.36565E-10,1.05855E-05,,421769.8,
5.4,1.36518E-10,1.06032E-05,,421769.8,
5.2,1.36455E-10,1.06402E-05,,421769.8,
5,1.36404E-10,1.06643E-05,,421769.8,
4.8,1.36335E-10,1.0677E-05,,421769.8,
4.6,1.36266E-10,1.07204E-05,,421769.8,
4.4,1.36187E-10,1.07429E-05,,421769.8,
4.2,1.36093E-10,1.07605E-05,,421769.8,
4,1.35993E-10,1.07872E-05,,421769.8,
3.8,1.35887E-10,1.08144E-05,,421769.8,
3.6,1.35765E-10,1.08663E-05,,421769.8,
3.4,1.35617E-10,1.0898E-05,,421769.8,
3.2,1.35457E-10,1.09269E-05,,421769.8,
3,1.35269E-10,1.09386E-05,,421769.8,
2.8,1.35054E-10,1.09502E-05,,421769.8,
2.6,1.34801E-10,1.09549E-05,,421769.8,
2.4,1.34492E-10,1.09468E-05,,421769.8,
2.2,1.34136E-10,1.09318E-05,,421769.8,
2,1.33699E-10,1.08877E-05,,421769.8,
1.8,1.33164E-10,1.08185E-05,,421769.8,
1.6,1.32507E-10,1.0688E-05,,421769.8,
1.4,1.31696E-10,1.04586E-05,,421769.8,
1.2,1.30691E-10,1.01454E-05,,421769.8,
1,1.29496E-10,9.72726E-06,,421769.8,
0.8,1.28136E-10,9.1642E-06,,421769.8,
0.6,1.26711E-10,8.56502E-06,,421769.8,
0.4,1.25383E-10,8.00008E-06,,421769.8,
0.2,1.24312E-10,7.56286E-06,,421769.8,
0,1.23558E-10,7.28728E-06,,421769.8,
-0.2,1.23082E-10,7.11677E-06,,421769.8,
-0.4,1.22797E-10,7.00831E-06,,421769.8,
-0.6,1.22633E-10,6.95236E-06,,421769.8,
-0.8,1.22532E-10,6.8946E-06,,421769.8,
-1,1.2247E-10,6.85912E-06,,421769.8,
-1.2,1.2243E-10,6.83762E-06,,421769.8,
-1.4,1.22399E-10,6.80829E-06,,421769.8,
-1.6,1.22374E-10,6.7986E-06,,421769.8,
-1.8,1.22359E-10,6.78793E-06,,421769.8,
-2,1.22337E-10,6.78627E-06,,421769.8,
-2.2,1.22322E-10,6.78215E-06,,421769.8,
-2.4,1.22301E-10,6.76416E-06,,421769.8,
-2.6,1.22287E-10,6.77088E-06,,421769.8,
-2.8,1.22268E-10,6.76755E-06,,421769.8,
-3,1.22251E-10,6.7732E-06,,421769.8,
-3.2,1.22233E-10,6.76694E-06,,421769.8,
-3.4,1.22216E-10,6.76568E-06,,421769.8,
-3.6,1.22196E-10,6.74424E-06,,421769.8,
-3.8,1.22172E-10,6.76166E-06,,421769.8,
-4,1.22157E-10,6.74925E-06,,421769.8,
-4.2,1.22139E-10,6.76533E-06,,421769.8,
-4.4,1.22116E-10,6.75921E-06,,421769.8,
-4.6,1.22092E-10,6.76024E-06,,421769.8,
-4.8,1.22077E-10,6.75332E-06,,421769.8,
-5,1.22047E-10,6.75258E-06,,421769.8,
-5,1.22664E-10,9.01589E-06,,483878.5,
-4.8,1.2269E-10,9.02436E-06,,483878.5,
-4.6,1.22723E-10,9.03507E-06,,483878.5,
-4.4,1.22749E-10,9.02941E-06,,483878.5,
-4.2,1.22775E-10,9.03449E-06,,483878.5,
-4,1.22792E-10,9.03555E-06,,483878.5,
-3.8,1.22821E-10,9.03221E-06,,483878.5,
-3.6,1.22839E-10,9.0344E-06,,483878.5,
-3.4,1.22857E-10,9.04338E-06,,483878.5,
-3.2,1.22869E-10,9.05638E-06,,483878.5,
-3,1.22889E-10,9.0554E-06,,483878.5,
-2.8,1.22903E-10,9.04813E-06,,483878.5,
-2.6,1.22917E-10,9.05969E-06,,483878.5,
-2.4,1.22934E-10,9.05217E-06,,483878.5,
-2.2,1.22949E-10,9.0682E-06,,483878.5,
-2,1.22968E-10,9.07002E-06,,483878.5,
-1.8,1.22981E-10,9.07539E-06,,483878.5,
-1.6,1.23002E-10,9.08817E-06,,483878.5,
-1.4,1.23027E-10,9.11606E-06,,483878.5,
-1.2,1.23055E-10,9.11398E-06,,483878.5,
-1,1.23092E-10,9.15535E-06,,483878.5,
-0.8,1.23161E-10,9.19813E-06,,483878.5,
-0.6,1.23256E-10,9.24759E-06,,483878.5,
-0.4,1.23428E-10,9.3454E-06,,483878.5,
-0.2,1.23723E-10,9.47933E-06,,483878.5,
0,1.24209E-10,9.71407E-06,,483878.5,
0.2,1.24967E-10,1.00826E-05,,483878.5,
0.4,1.26054E-10,1.06698E-05,,483878.5,
0.6,1.27383E-10,1.14288E-05,,483878.5,
0.8,1.28812E-10,1.22378E-05,,483878.5,
1,1.30161E-10,1.29522E-05,,483878.5,
1.2,1.3135E-10,1.3524E-05,,483878.5,
1.4,1.32346E-10,1.39458E-05,,483878.5,
1.6,1.33165E-10,1.42148E-05,,483878.5,
1.8,1.33818E-10,1.43872E-05,,483878.5,
2,1.3435E-10,1.44985E-05,,483878.5,
2.2,1.34791E-10,1.45539E-05,,483878.5,
2.4,1.35149E-10,1.45767E-05,,483878.5,
2.6,1.3545E-10,1.45922E-05,,483878.5,
2.8,1.3571E-10,1.45578E-05,,483878.5,
3,1.35925E-10,1.45441E-05,,483878.5,
3.2,1.36116E-10,1.45405E-05,,483878.5,
3.4,1.36275E-10,1.44735E-05,,483878.5,
3.6,1.36421E-10,1.44578E-05,,483878.5,
3.8,1.36545E-10,1.44159E-05,,483878.5,
4,1.36662E-10,1.43777E-05,,483878.5,
4.2,1.36757E-10,1.43499E-05,,483878.5,
4.4,1.36848E-10,1.4315E-05,,483878.5,
4.6,1.36922E-10,1.42598E-05,,483878.5,
4.8,1.37002E-10,1.42403E-05,,483878.5,
5,1.37064E-10,1.42022E-05,,483878.5,
5.2,1.37128E-10,1.41589E-05,,483878.5,
5.4,1.37183E-10,1.41206E-05,,483878.5,
5.6,1.37229E-10,1.40954E-05,,483878.5,
5.8,1.37282E-10,1.40763E-05,,483878.5,
6,1.37322E-10,1.4046E-05,,483878.5,
6.2,1.37363E-10,1.40231E-05,,483878.5,
6.4,1.37402E-10,1.40047E-05,,483878.5,
6.6,1.37435E-10,1.39658E-05,,483878.5,
6.8,1.37472E-10,1.39496E-05,,483878.5,
7,1.37503E-10,1.39287E-05,,483878.5,
7.2,1.37525E-10,1.39009E-05,,483878.5,
7.4,1.3756E-10,1.38819E-05,,483878.5,
7.6,1.37582E-10,1.38597E-05,,483878.5,
7.8,1.37604E-10,1.38326E-05,,483878.5,
8,1.37629E-10,1.3817E-05,,483878.5,
8.2,1.37649E-10,1.381E-05,,483878.5,
8.4,1.37667E-10,1.37953E-05,,483878.5,
8.6,1.37692E-10,1.37836E-05,,483878.5,
8.8,1.37711E-10,1.37604E-05,,483878.5,
9,1.37723E-10,1.3752E-05,,483878.5,
9.2,1.37739E-10,1.37359E-05,,483878.5,
9.4,1.37762E-10,1.37141E-05,,483878.5,
9.6,1.37776E-10,1.36881E-05,,483878.5,
9.8,1.37785E-10,1.3685E-05,,483878.5,
10,1.37802E-10,1.36757E-05,,483878.5,
10,1.378E-10,1.36699E-05,,483878.5,
9.8,1.37785E-10,1.3694E-05,,483878.5,
9.6,1.37771E-10,1.37096E-05,,483878.5,
9.4,1.37755E-10,1.37131E-05,,483878.5,
9.2,1.37739E-10,1.37325E-05,,483878.5,
9,1.37721E-10,1.37408E-05,,483878.5,
8.8,1.37707E-10,1.37569E-05,,483878.5,
8.6,1.37687E-10,1.37615E-05,,483878.5,
8.4,1.37666E-10,1.3802E-05,,483878.5,
8.2,1.37645E-10,1.38062E-05,,483878.5,
8,1.37624E-10,1.38272E-05,,483878.5,
7.8,1.37605E-10,1.38439E-05,,483878.5,
7.6,1.37582E-10,1.38754E-05,,483878.5,
7.4,1.37557E-10,1.3888E-05,,483878.5,
7.2,1.37526E-10,1.39081E-05,,483878.5,
7,1.37494E-10,1.39279E-05,,483878.5,
6.8,1.37469E-10,1.39657E-05,,483878.5,
6.6,1.37433E-10,1.3979E-05,,483878.5,
6.4,1.37401E-10,1.39917E-05,,483878.5,
6.2,1.37355E-10,1.40257E-05,,483878.5,
6,1.37322E-10,1.40613E-05,,483878.5,
5.8,1.37279E-10,1.40894E-05,,483878.5,
5.6,1.37232E-10,1.41129E-05,,483878.5,
5.4,1.37177E-10,1.41431E-05,,483878.5,
5.2,1.37125E-10,1.4176E-05,,483878.5,
5,1.3706E-10,1.42102E-05,,483878.5,
4.8,1.36996E-10,1.42306E-05,,483878.5,
4.6,1.36921E-10,1.4257E-05,,483878.5,
4.4,1.3684E-10,1.43096E-05,,483878.5,
4.2,1.36749E-10,1.43412E-05,,483878.5,
4,1.3665E-10,1.4373E-05,,483878.5,
3.8,1.36539E-10,1.44168E-05,,483878.5,
3.6,1.3641E-10,1.44619E-05,,483878.5,
3.4,1.3627E-10,1.44846E-05,,483878.5,
3.2,1.36103E-10,1.45169E-05,,483878.5,
3,1.35914E-10,1.45521E-05,,483878.5,
2.8,1.35694E-10,1.45733E-05,,483878.5,
2.6,1.35441E-10,1.45825E-05,,483878.5,
2.4,1.35128E-10,1.45671E-05,,483878.5,
2.2,1.34771E-10,1.45482E-05,,483878.5,
2,1.34321E-10,1.44897E-05,,483878.5,
1.8,1.33786E-10,1.43821E-05,,483878.5,
1.6,1.33122E-10,1.42181E-05,,483878.5,
1.4,1.32301E-10,1.39221E-05,,483878.5,
1.2,1.313E-10,1.34994E-05,,483878.5,
1,1.30099E-10,1.29368E-05,,483878.5,
0.8,1.28739E-10,1.22071E-05,,483878.5,
0.6,1.27312E-10,1.13966E-05,,483878.5,
0.4,1.25986E-10,1.06222E-05,,483878.5,
0.2,1.24906E-10,1.00472E-05,,483878.5,
0,1.24162E-10,9.68234E-06,,483878.5,
-0.2,1.23684E-10,9.46329E-06,,483878.5,
-0.4,1.23397E-10,9.32539E-06,,483878.5,
-0.6,1.23231E-10,9.24674E-06,,483878.5,
-0.8,1.23137E-10,9.18941E-06,,483878.5,
-1,1.23067E-10,9.13955E-06,,483878.5,
-1.2,1.23032E-10,9.11932E-06,,483878.5,
-1.4,1.23003E-10,9.09204E-06,,483878.5,
-1.6,1.22977E-10,9.08851E-06,,483878.5,
-1.8,1.22958E-10,9.07787E-06,,483878.5,
-2,1.2294E-10,9.05358E-06,,483878.5,
-2.2,1.22921E-10,9.06355E-06,,483878.5,
-2.4,1.22905E-10,9.05772E-06,,483878.5,
-2.6,1.2289E-10,9.05379E-06,,483878.5,
-2.8,1.22865E-10,9.04788E-06,,483878.5,
-3,1.22852E-10,9.03751E-06,,483878.5,
-3.2,1.22836E-10,9.04097E-06,,483878.5,
-3.4,1.22817E-10,9.03545E-06,,483878.5,
-3.6,1.22793E-10,9.04234E-06,,483878.5,
-3.8,1.22777E-10,9.04461E-06,,483878.5,
-4,1.22757E-10,9.02581E-06,,483878.5,
-4.2,1.22738E-10,9.02428E-06,,483878.5,
-4.4,1.22713E-10,9.04106E-06,,483878.5,
-4.6,1.22691E-10,9.01679E-06,,483878.5,
-4.8,1.22673E-10,9.03069E-06,,483878.5,
-5,1.22648E-10,9.02204E-06,,483878.5,
-5,1.23455E-10,1.21021E-05,,555133.1,
-4.8,1.23485E-10,1.21086E-05,,555133.1,
-4.6,1.23513E-10,1.21163E-05,,555133.1,
-4.4,1.23539E-10,1.21087E-05,,555133.1,
-4.2,1.23563E-10,1.21107E-05,,555133.1,
-4,1.23583E-10,1.21376E-05,,555133.1,
-3.8,1.23609E-10,1.21233E-05,,555133.1,
-3.6,1.23627E-10,1.21474E-05,,555133.1,
-3.4,1.23649E-10,1.21229E-05,,555133.1,
-3.2,1.23661E-10,1.213E-05,,555133.1,
-3,1.23681E-10,1.21632E-05,,555133.1,
-2.8,1.23701E-10,1.21423E-05,,555133.1,
-2.6,1.23716E-10,1.21403E-05,,555133.1,
-2.4,1.23728E-10,1.21516E-05,,555133.1,
-2.2,1.23741E-10,1.21645E-05,,555133.1,
-2,1.23757E-10,1.21716E-05,,555133.1,
-1.8,1.2378E-10,1.21977E-05,,555133.1,
-1.6,1.23795E-10,1.21838E-05,,555133.1,
