Setup title,MFCV-Low(1)(1)
4.2,1.33916E-10,3.20937E-08,,20537.04,
4,1.33882E-10,2.96381E-08,,20537.04,
3.8,1.3377E-10,2.73635E-08,,20537.04,
3.6,1.33621E-10,3.03838E-08,,20537.04,
3.4,1.33495E-10,2.99132E-08,,20537.04,
3.2,1.33327E-10,3.28957E-08,,20537.04,
3,1.33193E-10,2.87416E-08,,20537.04,
2.8,1.32947E-10,2.69421E-08,,20537.04,
2.6,1.32719E-10,2.3859E-08,,20537.04,
2.4,1.32448E-10,2.77439E-08,,20537.04,
2.2,1.32117E-10,2.99897E-08,,20537.04,
2,1.31718E-10,2.5405E-08,,20537.04,
1.8,1.31171E-10,3.1156E-08,,20537.04,
1.6,1.3054E-10,2.60771E-08,,20537.04,
1.4,1.29728E-10,2.67126E-08,,20537.04,
1.2,1.28781E-10,3.23671E-08,,20537.04,
1,1.27614E-10,3.73287E-08,,20537.04,
0.8,1.26265E-10,3.75838E-08,,20537.04,
0.6,1.24943E-10,4.35946E-08,,20537.04,
0.4,1.23615E-10,4.28542E-08,,20537.04,
0.2,1.22616E-10,4.30866E-08,,20537.04,
0,1.21833E-10,5.15282E-08,,20537.04,
-0.2,1.21373E-10,4.66137E-08,,20537.04,
-0.4,1.21028E-10,5.06754E-08,,20537.04,
-0.6,1.20864E-10,4.30602E-08,,20537.04,
-0.8,1.20723E-10,4.58202E-08,,20537.04,
-1,1.20595E-10,3.7593E-08,,20537.04,
-1.2,1.20543E-10,3.92064E-08,,20537.04,
-1.4,1.20484E-10,3.23997E-08,,20537.04,
-1.6,1.20453E-10,2.69896E-08,,20537.04,
-1.8,1.20468E-10,2.40014E-08,,20537.04,
-2,1.20405E-10,2.73116E-08,,20537.04,
-2.2,1.20357E-10,2.64554E-08,,20537.04,
-2.4,1.20371E-10,2.39281E-08,,20537.04,
-2.6,1.2027E-10,2.1111E-08,,20537.04,
-2.8,1.20308E-10,2.2009E-08,,20537.04,
-3,1.20278E-10,2.13673E-08,,20537.04,
-3.2,1.20286E-10,1.84526E-08,,20537.04,
-3.4,1.20263E-10,1.99209E-08,,20537.04,
-3.6,1.20235E-10,1.95514E-08,,20537.04,
-3.8,1.20228E-10,1.92137E-08,,20537.04,
-4,1.20187E-10,2.08946E-08,,20537.04,
-4.2,1.20188E-10,2.14886E-08,,20537.04,
-4.4,1.20137E-10,2.34398E-08,,20537.04,
-4.6,1.20157E-10,1.50852E-08,,20537.04,
-4.8,1.20086E-10,1.85146E-08,,20537.04,
-5,1.201E-10,2.12901E-08,,20537.04,
-5,1.20122E-10,2.25908E-08,,23561.26,
-4.8,1.20131E-10,2.46869E-08,,23561.26,
-4.6,1.20161E-10,2.4355E-08,,23561.26,
-4.4,1.20181E-10,2.56364E-08,,23561.26,
-4.2,1.20215E-10,2.48754E-08,,23561.26,
-4,1.20251E-10,2.62005E-08,,23561.26,
-3.8,1.20249E-10,2.58826E-08,,23561.26,
-3.6,1.20285E-10,2.54554E-08,,23561.26,
-3.4,1.20302E-10,2.57673E-08,,23561.26,
-3.2,1.20313E-10,2.66117E-08,,23561.26,
-3,1.20347E-10,2.76388E-08,,23561.26,
-2.8,1.20341E-10,2.62162E-08,,23561.26,
-2.6,1.20367E-10,2.84136E-08,,23561.26,
-2.4,1.20374E-10,2.92798E-08,,23561.26,
-2.2,1.20403E-10,3.51448E-08,,23561.26,
-2,1.20421E-10,3.40798E-08,,23561.26,
-1.8,1.20448E-10,3.67938E-08,,23561.26,
-1.6,1.2048E-10,3.75646E-08,,23561.26,
-1.4,1.20528E-10,4.11328E-08,,23561.26,
-1.2,1.20571E-10,4.50765E-08,,23561.26,
-1,1.20646E-10,5.00513E-08,,23561.26,
-0.8,1.20727E-10,5.23618E-08,,23561.26,
-0.6,1.20846E-10,5.48132E-08,,23561.26,
-0.4,1.21071E-10,5.4473E-08,,23561.26,
-0.2,1.2139E-10,5.47564E-08,,23561.26,
0,1.21879E-10,5.53195E-08,,23561.26,
0.2,1.22597E-10,5.30986E-08,,23561.26,
0.4,1.2366E-10,5.15564E-08,,23561.26,
0.6,1.24973E-10,4.81917E-08,,23561.26,
0.8,1.26358E-10,4.67083E-08,,23561.26,
1,1.27686E-10,4.3848E-08,,23561.26,
1.2,1.28839E-10,4.11829E-08,,23561.26,
1.4,1.29803E-10,4.12262E-08,,23561.26,
1.6,1.30583E-10,4.20368E-08,,23561.26,
1.8,1.31207E-10,3.86398E-08,,23561.26,
2,1.31726E-10,3.80484E-08,,23561.26,
2.2,1.32131E-10,3.9607E-08,,23561.26,
2.4,1.32475E-10,3.24576E-08,,23561.26,
2.6,1.32738E-10,3.50914E-08,,23561.26,
2.8,1.32991E-10,3.69882E-08,,23561.26,
3,1.3321E-10,3.74823E-08,,23561.26,
3.2,1.33372E-10,3.80025E-08,,23561.26,
3.4,1.33521E-10,3.53715E-08,,23561.26,
3.6,1.33634E-10,3.55063E-08,,23561.26,
3.8,1.33765E-10,3.67259E-08,,23561.26,
4,1.33871E-10,3.64038E-08,,23561.26,
4.2,1.33951E-10,3.61095E-08,,23561.26,
4.4,1.34042E-10,3.33675E-08,,23561.26,
4.6,1.34099E-10,3.60376E-08,,23561.26,
4.8,1.34153E-10,3.5507E-08,,23561.26,
5,1.34229E-10,3.50478E-08,,23561.26,
5.2,1.34287E-10,3.49185E-08,,23561.26,
5.4,1.34332E-10,3.4678E-08,,23561.26,
5.6,1.34396E-10,3.52401E-08,,23561.26,
5.8,1.34443E-10,3.4638E-08,,23561.26,
6,1.34458E-10,3.41293E-08,,23561.26,
6.2,1.34502E-10,3.31815E-08,,23561.26,
6.4,1.34525E-10,3.48821E-08,,23561.26,
6.6,1.34569E-10,3.49535E-08,,23561.26,
6.8,1.34592E-10,3.38667E-08,,23561.26,
7,1.34632E-10,3.26427E-08,,23561.26,
7.2,1.3465E-10,3.29943E-08,,23561.26,
7.4,1.34677E-10,3.51837E-08,,23561.26,
7.6,1.34698E-10,3.40115E-08,,23561.26,
7.8,1.34727E-10,3.23782E-08,,23561.26,
8,1.34736E-10,3.39319E-08,,23561.26,
8.2,1.34763E-10,3.27437E-08,,23561.26,
8.4,1.34757E-10,3.34232E-08,,23561.26,
8.6,1.3479E-10,3.3135E-08,,23561.26,
8.8,1.34798E-10,3.33079E-08,,23561.26,
9,1.34835E-10,3.37826E-08,,23561.26,
9.2,1.34839E-10,3.50502E-08,,23561.26,
9.4,1.3486E-10,3.37408E-08,,23561.26,
9.6,1.34876E-10,3.26202E-08,,23561.26,
9.8,1.34884E-10,3.0838E-08,,23561.26,
10,1.34905E-10,3.47202E-08,,23561.26,
10,1.34887E-10,3.27215E-08,,23561.26,
9.8,1.34891E-10,3.40725E-08,,23561.26,
9.6,1.34879E-10,3.41242E-08,,23561.26,
9.4,1.34865E-10,3.31507E-08,,23561.26,
9.2,1.34845E-10,3.2362E-08,,23561.26,
9,1.34845E-10,3.07368E-08,,23561.26,
8.8,1.34805E-10,3.26264E-08,,23561.26,
8.6,1.34792E-10,3.3141E-08,,23561.26,
8.4,1.3478E-10,3.43867E-08,,23561.26,
8.2,1.34747E-10,3.28868E-08,,23561.26,
8,1.34734E-10,3.42001E-08,,23561.26,
7.8,1.34716E-10,3.30478E-08,,23561.26,
7.6,1.34697E-10,3.4377E-08,,23561.26,
7.4,1.34667E-10,3.33142E-08,,23561.26,
7.2,1.34633E-10,3.4862E-08,,23561.26,
7,1.3462E-10,3.2462E-08,,23561.26,
6.8,1.34602E-10,3.5331E-08,,23561.26,
6.6,1.34553E-10,3.6245E-08,,23561.26,
6.4,1.34538E-10,3.35072E-08,,23561.26,
6.2,1.34511E-10,3.70915E-08,,23561.26,
6,1.34455E-10,3.32492E-08,,23561.26,
5.8,1.34441E-10,3.43539E-08,,23561.26,
5.6,1.34374E-10,3.58382E-08,,23561.26,
5.4,1.34326E-10,3.42012E-08,,23561.26,
5.2,1.34293E-10,3.35754E-08,,23561.26,
5,1.34227E-10,3.73346E-08,,23561.26,
4.8,1.34156E-10,3.48116E-08,,23561.26,
4.6,1.34109E-10,3.7176E-08,,23561.26,
4.4,1.34029E-10,3.64411E-08,,23561.26,
4.2,1.33955E-10,3.61671E-08,,23561.26,
4,1.3386E-10,3.67912E-08,,23561.26,
3.8,1.33735E-10,3.642E-08,,23561.26,
3.6,1.33642E-10,3.41613E-08,,23561.26,
3.4,1.33506E-10,3.78869E-08,,23561.26,
3.2,1.33359E-10,3.66137E-08,,23561.26,
3,1.33174E-10,3.68149E-08,,23561.26,
2.8,1.32972E-10,3.84724E-08,,23561.26,
2.6,1.32726E-10,3.7869E-08,,23561.26,
2.4,1.32452E-10,3.54359E-08,,23561.26,
2.2,1.32118E-10,3.65514E-08,,23561.26,
2,1.31701E-10,3.7526E-08,,23561.26,
1.8,1.31175E-10,3.91028E-08,,23561.26,
1.6,1.3055E-10,3.93746E-08,,23561.26,
1.4,1.29752E-10,3.95594E-08,,23561.26,
1.2,1.28772E-10,4.20394E-08,,23561.26,
1,1.27597E-10,4.28012E-08,,23561.26,
0.8,1.26289E-10,4.69766E-08,,23561.26,
0.6,1.24899E-10,4.64991E-08,,23561.26,
0.4,1.23589E-10,5.02334E-08,,23561.26,
0.2,1.22541E-10,5.24789E-08,,23561.26,
0,1.21815E-10,5.57488E-08,,23561.26,
-0.2,1.21343E-10,5.39141E-08,,23561.26,
-0.4,1.21036E-10,5.58936E-08,,23561.26,
-0.6,1.20832E-10,5.3796E-08,,23561.26,
-0.8,1.20709E-10,4.90637E-08,,23561.26,
-1,1.20607E-10,4.58393E-08,,23561.26,
-1.2,1.20548E-10,4.36778E-08,,23561.26,
-1.4,1.20488E-10,3.77414E-08,,23561.26,
-1.6,1.20455E-10,3.83653E-08,,23561.26,
-1.8,1.20413E-10,3.62753E-08,,23561.26,
-2,1.20409E-10,3.19957E-08,,23561.26,
-2.2,1.20371E-10,2.83182E-08,,23561.26,
-2.4,1.20362E-10,2.72354E-08,,23561.26,
-2.6,1.20335E-10,2.53997E-08,,23561.26,
-2.8,1.20308E-10,2.49865E-08,,23561.26,
-3,1.20279E-10,2.56799E-08,,23561.26,
-3.2,1.20283E-10,2.52071E-08,,23561.26,
-3.4,1.20235E-10,2.45654E-08,,23561.26,
-3.6,1.20219E-10,2.47145E-08,,23561.26,
-3.8,1.20204E-10,2.39814E-08,,23561.26,
-4,1.20206E-10,2.51079E-08,,23561.26,
-4.2,1.20175E-10,2.41821E-08,,23561.26,
-4.4,1.20165E-10,2.56067E-08,,23561.26,
-4.6,1.20136E-10,2.17841E-08,,23561.26,
-4.8,1.20112E-10,2.44306E-08,,23561.26,
-5,1.20089E-10,2.44426E-08,,23561.26,
-5,1.20105E-10,3.03793E-08,,27030.83,
-4.8,1.20135E-10,3.19706E-08,,27030.83,
-4.6,1.20153E-10,3.16884E-08,,27030.83,
-4.4,1.20183E-10,3.24791E-08,,27030.83,
-4.2,1.20204E-10,3.17439E-08,,27030.83,
-4,1.20241E-10,3.16801E-08,,27030.83,
-3.8,1.2026E-10,3.1986E-08,,27030.83,
-3.6,1.20268E-10,3.32476E-08,,27030.83,
-3.4,1.20289E-10,3.32714E-08,,27030.83,
-3.2,1.20303E-10,3.26495E-08,,27030.83,
-3,1.20329E-10,3.27706E-08,,27030.83,
-2.8,1.20351E-10,3.345E-08,,27030.83,
-2.6,1.20368E-10,3.62056E-08,,27030.83,
-2.4,1.20371E-10,3.87666E-08,,27030.83,
-2.2,1.20401E-10,3.80353E-08,,27030.83,
-2,1.20404E-10,4.10692E-08,,27030.83,
-1.8,1.20449E-10,4.54737E-08,,27030.83,
-1.6,1.20487E-10,4.50484E-08,,27030.83,
-1.4,1.20508E-10,5.01226E-08,,27030.83,
-1.2,1.20563E-10,5.45451E-08,,27030.83,
-1,1.20626E-10,5.76899E-08,,27030.83,
-0.8,1.20721E-10,5.89055E-08,,27030.83,
-0.6,1.2086E-10,6.51376E-08,,27030.83,
-0.4,1.21052E-10,6.62494E-08,,27030.83,
-0.2,1.21367E-10,6.82529E-08,,27030.83,
0,1.21848E-10,6.63776E-08,,27030.83,
0.2,1.22604E-10,6.51051E-08,,27030.83,
0.4,1.23649E-10,5.90989E-08,,27030.83,
0.6,1.24964E-10,5.87858E-08,,27030.83,
0.8,1.2635E-10,5.79598E-08,,27030.83,
1,1.27656E-10,5.59558E-08,,27030.83,
1.2,1.28812E-10,5.31815E-08,,27030.83,
1.4,1.29797E-10,5.21701E-08,,27030.83,
1.6,1.3058E-10,4.9129E-08,,27030.83,
1.8,1.31217E-10,5.17191E-08,,27030.83,
2,1.31718E-10,5.00064E-08,,27030.83,
2.2,1.32127E-10,4.99173E-08,,27030.83,
2.4,1.3247E-10,4.85707E-08,,27030.83,
2.6,1.32754E-10,4.78265E-08,,27030.83,
2.8,1.32979E-10,4.88507E-08,,27030.83,
3,1.3319E-10,4.77511E-08,,27030.83,
3.2,1.33347E-10,4.94909E-08,,27030.83,
3.4,1.33512E-10,4.56576E-08,,27030.83,
3.6,1.33647E-10,4.62948E-08,,27030.83,
3.8,1.33758E-10,4.69519E-08,,27030.83,
4,1.3385E-10,4.66952E-08,,27030.83,
4.2,1.33953E-10,4.52266E-08,,27030.83,
4.4,1.34041E-10,4.6754E-08,,27030.83,
4.6,1.341E-10,4.48941E-08,,27030.83,
4.8,1.34172E-10,4.69363E-08,,27030.83,
5,1.34218E-10,4.33082E-08,,27030.83,
5.2,1.34282E-10,4.57596E-08,,27030.83,
5.4,1.34341E-10,4.51474E-08,,27030.83,
5.6,1.34393E-10,4.4116E-08,,27030.83,
5.8,1.34415E-10,4.81034E-08,,27030.83,
6,1.34461E-10,4.60926E-08,,27030.83,
6.2,1.34499E-10,4.38275E-08,,27030.83,
6.4,1.34526E-10,4.34081E-08,,27030.83,
6.6,1.34565E-10,4.61756E-08,,27030.83,
6.8,1.34599E-10,4.33939E-08,,27030.83,
7,1.34622E-10,4.47707E-08,,27030.83,
7.2,1.3465E-10,4.57063E-08,,27030.83,
7.4,1.34679E-10,4.31929E-08,,27030.83,
7.6,1.34702E-10,4.3161E-08,,27030.83,
7.8,1.34722E-10,4.83505E-08,,27030.83,
8,1.34746E-10,4.45158E-08,,27030.83,
8.2,1.34745E-10,4.35065E-08,,27030.83,
8.4,1.34766E-10,4.31528E-08,,27030.83,
8.6,1.34805E-10,4.31149E-08,,27030.83,
8.8,1.3481E-10,4.19486E-08,,27030.83,
9,1.34824E-10,4.43248E-08,,27030.83,
9.2,1.34855E-10,4.51869E-08,,27030.83,
9.4,1.34842E-10,4.51989E-08,,27030.83,
9.6,1.34869E-10,4.42312E-08,,27030.83,
9.8,1.34899E-10,4.35257E-08,,27030.83,
10,1.34903E-10,4.3176E-08,,27030.83,
10,1.34901E-10,4.289E-08,,27030.83,
9.8,1.34879E-10,4.43702E-08,,27030.83,
9.6,1.3488E-10,4.38596E-08,,27030.83,
9.4,1.34846E-10,4.28425E-08,,27030.83,
9.2,1.3483E-10,4.63691E-08,,27030.83,
9,1.34834E-10,4.41618E-08,,27030.83,
8.8,1.34816E-10,4.31804E-08,,27030.83,
8.6,1.34788E-10,4.4619E-08,,27030.83,
8.4,1.34773E-10,4.60316E-08,,27030.83,
8.2,1.34751E-10,4.42774E-08,,27030.83,
8,1.34739E-10,4.39973E-08,,27030.83,
7.8,1.34725E-10,4.31271E-08,,27030.83,
7.6,1.34704E-10,4.32981E-08,,27030.83,
7.4,1.34662E-10,4.61334E-08,,27030.83,
7.2,1.3465E-10,4.53229E-08,,27030.83,
7,1.34621E-10,4.38627E-08,,27030.83,
6.8,1.34585E-10,4.51106E-08,,27030.83,
6.6,1.34574E-10,4.50411E-08,,27030.83,
6.4,1.34533E-10,4.47711E-08,,27030.83,
6.2,1.34496E-10,4.35096E-08,,27030.83,
6,1.3446E-10,4.50257E-08,,27030.83,
5.8,1.34429E-10,4.56596E-08,,27030.83,
5.6,1.34366E-10,4.52268E-08,,27030.83,
5.4,1.3434E-10,4.62739E-08,,27030.83,
5.2,1.34293E-10,4.47264E-08,,27030.83,
5,1.34227E-10,4.74208E-08,,27030.83,
4.8,1.34163E-10,4.49177E-08,,27030.83,
4.6,1.341E-10,4.68114E-08,,27030.83,
4.4,1.3401E-10,4.62157E-08,,27030.83,
4.2,1.33935E-10,4.60452E-08,,27030.83,
4,1.33841E-10,4.33714E-08,,27030.83,
3.8,1.33754E-10,4.74586E-08,,27030.83,
3.6,1.33642E-10,4.43299E-08,,27030.83,
3.4,1.33514E-10,4.76603E-08,,27030.83,
3.2,1.33348E-10,4.64987E-08,,27030.83,
3,1.3318E-10,4.9581E-08,,27030.83,
2.8,1.32968E-10,4.92322E-08,,27030.83,
2.6,1.32731E-10,4.86272E-08,,27030.83,
2.4,1.32444E-10,4.96219E-08,,27030.83,
2.2,1.32109E-10,4.86577E-08,,27030.83,
2,1.31676E-10,4.97225E-08,,27030.83,
1.8,1.31175E-10,4.92179E-08,,27030.83,
1.6,1.30541E-10,4.99855E-08,,27030.83,
1.4,1.2976E-10,5.23232E-08,,27030.83,
1.2,1.28777E-10,5.36644E-08,,27030.83,
1,1.27597E-10,5.66176E-08,,27030.83,
0.8,1.26262E-10,5.57945E-08,,27030.83,
0.6,1.24866E-10,5.79478E-08,,27030.83,
0.4,1.23584E-10,6.20516E-08,,27030.83,
0.2,1.22528E-10,6.60809E-08,,27030.83,
0,1.21797E-10,6.47804E-08,,27030.83,
-0.2,1.2132E-10,6.59762E-08,,27030.83,
-0.4,1.21019E-10,6.37204E-08,,27030.83,
-0.6,1.20819E-10,6.19092E-08,,27030.83,
-0.8,1.20696E-10,5.92632E-08,,27030.83,
-1,1.20601E-10,5.56973E-08,,27030.83,
-1.2,1.20524E-10,5.21749E-08,,27030.83,
-1.4,1.20477E-10,5.00155E-08,,27030.83,
-1.6,1.20431E-10,4.52414E-08,,27030.83,
-1.8,1.20405E-10,4.1701E-08,,27030.83,
-2,1.20378E-10,3.99646E-08,,27030.83,
-2.2,1.20355E-10,3.62911E-08,,27030.83,
-2.4,1.20339E-10,3.36408E-08,,27030.83,
-2.6,1.20329E-10,3.26494E-08,,27030.83,
-2.8,1.2031E-10,3.28004E-08,,27030.83,
-3,1.2029E-10,3.19522E-08,,27030.83,
-3.2,1.20267E-10,3.24152E-08,,27030.83,
-3.4,1.20252E-10,3.25742E-08,,27030.83,
-3.6,1.20243E-10,3.22225E-08,,27030.83,
-3.8,1.20233E-10,3.37782E-08,,27030.83,
-4,1.20209E-10,3.31286E-08,,27030.83,
-4.2,1.20179E-10,3.31447E-08,,27030.83,
-4.4,1.20157E-10,3.27514E-08,,27030.83,
-4.6,1.20139E-10,3.36216E-08,,27030.83,
-4.8,1.20111E-10,3.32144E-08,,27030.83,
-5,1.2008E-10,3.3155E-08,,27030.83,
-5,1.20093E-10,4.08715E-08,,31011.31,
-4.8,1.20121E-10,3.957E-08,,31011.31,
-4.6,1.20158E-10,4.14751E-08,,31011.31,
-4.4,1.20174E-10,3.85227E-08,,31011.31,
-4.2,1.20213E-10,4.12146E-08,,31011.31,
-4,1.20235E-10,3.95118E-08,,31011.31,
-3.8,1.20249E-10,4.46058E-08,,31011.31,
-3.6,1.20271E-10,3.99844E-08,,31011.31,
-3.4,1.20282E-10,4.34692E-08,,31011.31,
-3.2,1.20307E-10,4.21518E-08,,31011.31,
-3,1.20319E-10,4.35346E-08,,31011.31,
-2.8,1.20324E-10,4.36021E-08,,31011.31,
-2.6,1.20359E-10,4.55669E-08,,31011.31,
-2.4,1.20374E-10,4.59363E-08,,31011.31,
-2.2,1.20387E-10,5.02754E-08,,31011.31,
-2,1.20416E-10,5.1217E-08,,31011.31,
-1.8,1.20441E-10,5.46699E-08,,31011.31,
-1.6,1.2045E-10,5.54487E-08,,31011.31,
-1.4,1.20486E-10,6.0044E-08,,31011.31,
-1.2,1.20552E-10,6.16251E-08,,31011.31,
-1,1.20612E-10,6.94945E-08,,31011.31,
-0.8,1.20711E-10,7.08569E-08,,31011.31,
-0.6,1.20846E-10,7.19429E-08,,31011.31,
-0.4,1.21034E-10,7.81824E-08,,31011.31,
-0.2,1.21356E-10,7.97105E-08,,31011.31,
0,1.21822E-10,7.65092E-08,,31011.31,
0.2,1.22564E-10,7.65229E-08,,31011.31,
0.4,1.2363E-10,7.43811E-08,,31011.31,
0.6,1.24949E-10,7.13458E-08,,31011.31,
0.8,1.26346E-10,7.1143E-08,,31011.31,
1,1.27661E-10,7.09386E-08,,31011.31,
1.2,1.28815E-10,6.66622E-08,,31011.31,
1.4,1.29812E-10,6.72582E-08,,31011.31,
1.6,1.3059E-10,6.79688E-08,,31011.31,
1.8,1.31208E-10,6.3151E-08,,31011.31,
2,1.31725E-10,6.08532E-08,,31011.31,
2.2,1.32114E-10,5.97342E-08,,31011.31,
2.4,1.32453E-10,6.24441E-08,,31011.31,
2.6,1.32738E-10,6.32708E-08,,31011.31,
2.8,1.3298E-10,5.96037E-08,,31011.31,
3,1.33183E-10,6.11382E-08,,31011.31,
3.2,1.33351E-10,5.95815E-08,,31011.31,
3.4,1.33512E-10,6.39018E-08,,31011.31,
3.6,1.33636E-10,6.14235E-08,,31011.31,
3.8,1.33769E-10,6.00458E-08,,31011.31,
4,1.33869E-10,5.82531E-08,,31011.31,
4.2,1.33961E-10,5.98559E-08,,31011.31,
4.4,1.34012E-10,6.02112E-08,,31011.31,
4.6,1.3409E-10,6.07909E-08,,31011.31,
4.8,1.34165E-10,5.77009E-08,,31011.31,
5,1.34235E-10,5.83621E-08,,31011.31,
5.2,1.3427E-10,5.87414E-08,,31011.31,
5.4,1.34333E-10,6.00185E-08,,31011.31,
5.6,1.34389E-10,6.19811E-08,,31011.31,
5.8,1.3442E-10,5.83272E-08,,31011.31,
6,1.34453E-10,5.7725E-08,,31011.31,
6.2,1.34499E-10,5.75558E-08,,31011.31,
6.4,1.34523E-10,5.99338E-08,,31011.31,
6.6,1.34561E-10,5.62998E-08,,31011.31,
6.8,1.34606E-10,5.74439E-08,,31011.31,
7,1.34611E-10,5.76842E-08,,31011.31,
7.2,1.34652E-10,5.99152E-08,,31011.31,
7.4,1.34669E-10,5.72528E-08,,31011.31,
7.6,1.3469E-10,5.88003E-08,,31011.31,
7.8,1.34709E-10,6.30063E-08,,31011.31,
8,1.34745E-10,6.04669E-08,,31011.31,
8.2,1.34772E-10,5.89588E-08,,31011.31,
8.4,1.34755E-10,5.09739E-08,,31011.31,
8.6,1.34793E-10,5.59884E-08,,31011.31,
8.8,1.34819E-10,5.51895E-08,,31011.31,
9,1.34823E-10,5.72498E-08,,31011.31,
9.2,1.34832E-10,5.70073E-08,,31011.31,
9.4,1.34875E-10,5.5666E-08,,31011.31,
9.6,1.34871E-10,5.69694E-08,,31011.31,
9.8,1.34862E-10,5.69217E-08,,31011.31,
10,1.34894E-10,5.85706E-08,,31011.31,
10,1.34901E-10,5.72096E-08,,31011.31,
9.8,1.3489E-10,5.66096E-08,,31011.31,
9.6,1.34871E-10,6.07463E-08,,31011.31,
9.4,1.34857E-10,5.94907E-08,,31011.31,
9.2,1.34836E-10,5.8116E-08,,31011.31,
9,1.34824E-10,5.75955E-08,,31011.31,
8.8,1.34814E-10,5.98347E-08,,31011.31,
8.6,1.34799E-10,5.83228E-08,,31011.31,
8.4,1.34776E-10,5.74547E-08,,31011.31,
8.2,1.34757E-10,5.54124E-08,,31011.31,
8,1.34726E-10,5.72941E-08,,31011.31,
7.8,1.34731E-10,5.56629E-08,,31011.31,
7.6,1.34676E-10,5.75567E-08,,31011.31,
7.4,1.34654E-10,6.05092E-08,,31011.31,
7.2,1.34647E-10,6.10715E-08,,31011.31,
7,1.34614E-10,5.59001E-08,,31011.31,
6.8,1.34587E-10,6.15825E-08,,31011.31,
6.6,1.34559E-10,5.66375E-08,,31011.31,
6.4,1.34518E-10,6.06988E-08,,31011.31,
6.2,1.34486E-10,5.93698E-08,,31011.31,
6,1.34448E-10,5.83628E-08,,31011.31,
5.8,1.34438E-10,5.89092E-08,,31011.31,
5.6,1.34371E-10,5.81308E-08,,31011.31,
5.4,1.3434E-10,6.1137E-08,,31011.31,
5.2,1.3427E-10,5.89639E-08,,31011.31,
5,1.34227E-10,5.78039E-08,,31011.31,
4.8,1.34173E-10,6.33732E-08,,31011.31,
4.6,1.34098E-10,5.86809E-08,,31011.31,
4.4,1.3402E-10,5.90847E-08,,31011.31,
4.2,1.33944E-10,6.26614E-08,,31011.31,
4,1.33853E-10,5.81678E-08,,31011.31,
3.8,1.33753E-10,5.93963E-08,,31011.31,
3.6,1.3363E-10,6.31302E-08,,31011.31,
3.4,1.33506E-10,5.85435E-08,,31011.31,
3.2,1.33346E-10,6.00902E-08,,31011.31,
3,1.33194E-10,6.60396E-08,,31011.31,
2.8,1.32986E-10,5.94745E-08,,31011.31,
2.6,1.32731E-10,6.58219E-08,,31011.31,
2.4,1.32451E-10,6.28872E-08,,31011.31,
2.2,1.32096E-10,6.16456E-08,,31011.31,
2,1.31664E-10,5.99813E-08,,31011.31,
1.8,1.31184E-10,6.50089E-08,,31011.31,
1.6,1.3053E-10,6.57281E-08,,31011.31,
1.4,1.2973E-10,6.89654E-08,,31011.31,
1.2,1.28758E-10,6.56175E-08,,31011.31,
1,1.27595E-10,6.84913E-08,,31011.31,
0.8,1.26261E-10,7.01819E-08,,31011.31,
0.6,1.24859E-10,6.97469E-08,,31011.31,
0.4,1.23573E-10,7.46775E-08,,31011.31,
0.2,1.22511E-10,7.78762E-08,,31011.31,
0,1.21779E-10,7.99009E-08,,31011.31,
-0.2,1.21301E-10,7.85962E-08,,31011.31,
-0.4,1.20982E-10,7.73324E-08,,31011.31,
-0.6,1.20799E-10,7.45121E-08,,31011.31,
-0.8,1.20682E-10,6.9363E-08,,31011.31,
-1,1.20578E-10,6.96636E-08,,31011.31,
-1.2,1.20535E-10,6.23901E-08,,31011.31,
-1.4,1.20482E-10,5.58002E-08,,31011.31,
-1.6,1.20436E-10,5.26335E-08,,31011.31,
-1.8,1.20412E-10,4.96037E-08,,31011.31,
-2,1.20389E-10,4.80164E-08,,31011.31,
-2.2,1.20345E-10,4.64749E-08,,31011.31,
-2.4,1.20339E-10,4.33715E-08,,31011.31,
-2.6,1.2032E-10,4.0463E-08,,31011.31,
-2.8,1.20308E-10,4.2271E-08,,31011.31,
-3,1.20284E-10,4.03758E-08,,31011.31,
-3.2,1.20268E-10,4.22434E-08,,31011.31,
-3.4,1.2025E-10,4.2478E-08,,31011.31,
-3.6,1.20242E-10,3.9017E-08,,31011.31,
-3.8,1.20211E-10,4.17768E-08,,31011.31,
-4,1.20201E-10,3.96113E-08,,31011.31,
-4.2,1.20162E-10,3.92916E-08,,31011.31,
-4.4,1.20157E-10,3.97983E-08,,31011.31,
-4.6,1.2014E-10,3.94269E-08,,31011.31,
-4.8,1.20109E-10,3.99674E-08,,31011.31,
-5,1.20099E-10,3.89959E-08,,31011.31,
-5,1.2009E-10,5.87778E-08,,35577.95,
-4.8,1.20139E-10,5.36634E-08,,35577.95,
-4.6,1.20157E-10,4.96202E-08,,35577.95,
-4.4,1.20221E-10,5.24688E-08,,35577.95,
-4.2,1.20236E-10,5.589E-08,,35577.95,
-4,1.20241E-10,5.258E-08,,35577.95,
-3.8,1.20283E-10,5.70261E-08,,35577.95,
-3.6,1.20293E-10,4.78471E-08,,35577.95,
-3.4,1.20294E-10,4.79345E-08,,35577.95,
-3.2,1.20336E-10,4.95713E-08,,35577.95,
-3,1.20354E-10,4.95851E-08,,35577.95,
-2.8,1.20341E-10,5.29906E-08,,35577.95,
-2.6,1.20359E-10,4.95056E-08,,35577.95,
-2.4,1.20395E-10,4.94438E-08,,35577.95,
-2.2,1.20406E-10,5.38802E-08,,35577.95,
-2,1.20433E-10,5.7341E-08,,35577.95,
